city,prix,longitude,latitude
Berlin,12.46,13.41,52.52
Lisbonne,12.46,-9.13,38.72
Madrid,12.46,-3.7,40.42
Rome,16.1,12.48,41.89
Paris,15.58,2.35,48.85
Londres,18.02,-0.13,51.51
Dublin,18.7,-6.25,53.33
Bern,26.42,7.45,46.95
Oslo,20.11,10.75,59.91
Stockholm,12.38,18.06,59.33
Helsinki,13.5,24.94,60.17
Bratislava,8.31,17.11,48.15
Budapest,7.93,19.04,47.5
Bucharest,10.56,26.11,44.43
Varsovie,7.78,21.01,52.23
Bruxelles,15.58,4.35,50.85
Amsterdam,19.22,4.89,52.37
Sarajevo,5.3,18.36,43.85
Zagreb,9.63,15.98,45.81
Podgorica,5.71,19.26,42.44
Belgrade,7.96,20.47,44.8
Tirana,5.73,19.82,41.33
Athens,12.46,23.72,37.98
Kiev,6.76,30.52,50.45
Minsk,9.89,27.57,53.9
Copenhagen,19.55,12.57,55.68
Vilnius,9.87,25.28,54.69
Riga,10.39,24.11,56.95
Tallinn,12.46,24.75,59.44
Chisinau,6.24,28.86,47.01
Reykjavik,17.65,-21.9,64.14
Vienna,15.58,16.37,48.21


